country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,9.5,17.5,,,,,,,,,13.3,,,9,,,,,16.8,,18.9
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,10.3,,,,14.2,,,,16,,,,,20.6,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,12.6,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,,,,,,61.3,,76.2,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,54.3,,,,,,,,54,,,,,,,,54,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,18.1,,,,,25,,,,23.2,,,,,,,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,,,,,60.6,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,38.2,,,,,,,,37.3,,,,,34.6,34.2,34.2,,42.5,,,,,33.9,,,,,,
"Hong Kong, China",,,,,,,42,,,,,49.6,,,,,71.9,,,,,72.3,,,,,80.8,,,,,86.2,,,,,86,,,,,86.2,,,,,79.5,,,,,74.8,,,,,66.7,,,
Honduras,,,,,,,,,,,,,,,,,,,,,26.9,,,34.9,,,40.6,,,,,46.7,,,,49.2,,,,,61.6,,,,,65.2,,,,,,73.2,,,,,,,,
Croatia,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,18.9,,,,,,6.9,,,,6.7,,10.2,,,,,,18,,,,,28.1,,,,,,32,,,,,,34.5,,,,34.3,34.3,,,
Hungary,,,,,,66.6,,,67,,,73,,74,76,,73.1,,,,,,,,,73.1,,,,,,,80.6,,,,,,,,,,,,,,,,61.6,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,8.6,,,26.3,,,31.2,,,,,,38.5,,47.7,,,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,57.4,61.4,60.6,61,61.3,61.9,62,61.6,60,59.4,63.6,55.5,,
India,,,,,,,,,,13.6,13.6,,,,,,,,,35.3,35.3,,,,,,,44.9,,,,,40.7,,,,,,48.2,46.9,,,53,53,54.4,56.3,,54.8,,,,,,,,53.5,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,75,,76.2,64.8,,,,,73.3,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,36,23,,,,,,,,,,,48.9,,49,64.6,67.8,70,72.8,73.7,72.9,,,73.8,,73.3,,,78.9,,,,,77.4,77.4,,,,,,,,,
Iraq,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,13.7,,,,,,,,,,,43.5,,,,,,49.8,,,,,52.5,,,,,,,52.8,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,,,,65.1,,,,,,,
Jamaica,,,,,,,,,,,,,,,,38.3,,,54.9,,,,51.4,,,,,,54.6,,,,62,,,,65.9,,,,,69.1,69,,,,,72.5,72.5,,,,,,,,,,,
Jordan,,,,,,,,,,,,26.1,,,,25.2,,,,,,,26,,26.5,,,,,40,,,,,,,52.6,,,,,55.8,,,,,57.1,,59.3,,,61.2,,,,,,51.8,,
Japan,42,,44.6,,55.5,,53,,52.1,,52.6,,59.3,,60.5,,60.4,,62.2,,,,,57.3,,62.8,64.5,56.3,,57.9,,64,,58.6,,56.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,,,,54.7,39.8,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,66.1,,,,,,,50.7,,,,,51,,,,55.7,,,53,,
Kenya,,,,,,,,,,,,,,,,,,7,,,,,,17,,,,,26.9,,,,32.7,,,,,39,,,,,39.3,,,,,,45.5,,,,,58,66.3,61.6,60.5,62.8,59.7,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,47.8,,,,,,36.3,,42,,,54.1,39.4,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,21.8,,23.8,,,,,40,40,,,,50.5,50.5,,,56.3,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,36.1,,,,21.5,,,,20,22.3,,,,,,,,,,33.5,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,54,,54,,,,,,,,,,,,
South Korea,,,,,16,20,,,,,24.5,,,34.9,,44.2,,,54.5,,,57.7,,,70.4,,,77.1,,,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,77.1,,,79.6,,,82.3,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,39,,34.6,,,,,,,49.8,,50.2,,,52,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,20,,,,,32.2,,,,,38.4,,,,,,,49.8,,,,,54.1,,,
Lebanon,,,,,,,,,,,53,,,,,,,,,,,,,61.7,,,,,,,,,,,,61.1,,,,62.7,,58,,58,,,,,54.5,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,10,,,,,,,11.4,,,,,,20.2,,,31.2,,,,24.9
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,44.5,,,,41.9,,,,,,,27.7,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,52.2,52.2,,,,,,47.3,,,,,,,,,,47,,,,,,,,,,,,,,55.5,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,43.2,34.4,,48.6,,,,,47.7,,,,,61.7,,,,,,66.1,,,,,,,70,,,,,,,68.4,,,,,,,,,64.6,,,,
Lesotho,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,23.2,,,29.1,,,,,30.4,40.6,38,,37.3,37.3,,,,47,47,63.4,,,60.2,,,,64.9,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,,,,,,62.9,,,68.8,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,19.4,,,,25.5,,,35.9,,,,,41.5,,,50.3,,58.4,,,,,,,63,,,,,,,67.4,,,,,,,70.8,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,,59.5,,,,,,,,56
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,19.4,,25,18.8,,,,27.1,,,,,39.9,,,,39.8,,,,47.9,44.4,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,42,,,,,39,,,,,34.7,,,,,,,,18.8,,,
Mexico,,,,,,,,,,,,,,,,,30.3,40,37.8,,,47.7,,,,,52.7,,,,,63.1,,,66.5,,68.4,,,70,,,74.5,73,73.7,70.9,,,72.5,,,,,72.3,66.9,,,73.1,,
Marshall Islands,,,,,,,,,,22.7,,,,,,,,,,,,,,,27.2,,,,,,,,,37,,,,,,,34,,,,,,44.6,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,40.2,,,,,,,,59.9,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,6.7,,,,,8.1,,,,,8.2,,,,9.4,,,10.3,,15.6,,,17.2,,
Malta,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,16.8,,,,,,32.7,,,,37,,34.3,,,,41,,,46,,,,,,52.2,,,,
Montenegro,,,,,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,39.4,,,,,,,23.3,,,,,20.7,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,57.3,,59.9,,67.4,,,69,,66,,,55.2,,54.9,,,54.6,54.6,,,,48.1,,
Northern Mariana Islands,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,16.5,16.5,,,,16.2,11.6,,11.6,,,,27.1,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,4.1,,,,,,,,,,8,,,,,,9.3,,,,11.4,,,,17.8,,,,,
Mauritius,,,,,,,,,,,,,,,45.7,,,,,,,,,,74.6,,,,,,74.6,,,,,,,,,,,75.8,,,,,,,,,,,,63.8,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,13,,,,21.9,,,,30.6,,,,32.5,32.5,41,,,,46.1,,,,58.6,,59.2,,,,
Malaysia,,,,,,,8.7,,,,,,,33,,,,,,,,,,51.4,51.4,,,48.3,50.1,,,,,55.1,,,,,,,,,,49,,,,,,,,,,52.2,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,,,56.1,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,18,,13.9,,,14.7,16.9,18.9,11,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,6,,,,13.4,,,,,15.3,,,,12.6,,,,14.7,14.6,,,17.5,13.5,15.1,,,20.4,13.4,16.6,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,,80.4,,,,,,,,
Netherlands,,,,,,,,,59,,,,,,75,,73,,,,,76.9,,,72,,,76.2,,,,,78.5,,,,,75,,,,,75,,,,,75,,,,,73,,,,,,,
Norway,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,73.8,,,,,,,,,86.5,,,,,,,88.4,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,2.4,,,,,6.8,,,,,15.1,,,,,,24.1,,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,49.7,,,49.6,,52.6,52.6,,46.7,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,79.9,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,,,,29.7,,,,,,
Pakistan,,,,,,,,,5.5,,,,,,5.4,,,,,3.3,,,,,9.1,,,,,14.5,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,29,35.4,32,,,,34.2,34,
Panama,,,,,,,,,,,,,,,,53.9,,,60.6,,,,,58.2,58.2,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,62.8,,50.8,,,,,
Peru,,,,,,,,,,26,,,,,,,,31.4,,,41,,,,,45.8,,,,,,59,,,,64.2,,,,68.9,,,,70.5,71.3,71.3,,72.4,73.2,74.4,75.4,75.5,74,74.6,74.6,76.2,75.4,76.3,,
Philippines,,,,,,,,15.4,,,,,,,,,,36.2,,,,,,,,43.6,,36.2,,,,,40,,50.7,48.1,47,47.8,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,,,,54.1,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,32.8,,,,21,,,22.3,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,25.9,,,,,,,,,32.4,32.4,,,,,,,,,,,36.7,,
Poland,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,72.7,,,,,,,,,,,,,,,,,,,,50.6,,,62.3,,,,,,
Puerto Rico,,,,,,,,60.1,,,,,,61,,64.6,,,,,,70.4,,,,,,,,,,,,,,77.7,,,,,,84.1,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,61.9,,,,62,67.3,,,,,68.6,,67.6,,69.1,,,,70.6,,,,78.2,,,70.2,,,
Portugal,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,,78.8,,,,,,,,,86.8,,,,,,,,73.9,,,,,,
Paraguay,,,,,,,,,,,,,,,,,28.6,,37.7,,,,,,,,44.8,,,48.4,,,,,,55.9,,61.8,,,,,,72.8,,,,79.4,,,,,,,,68.4,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,51.4,,,,50.6,,50.2,50.2,,,52.5,,,,57.2,,,,,,57.3
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,43.2,,,,,,,,,,,,,,37.5,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,57.3,,,,,,63.8,,,,,70.3,69.8,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,66.8,63.4,65.3,,,,,,,,83.8,,,79.5,,,64.9,68,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,21.2,,,,13.7,,,,13.2,,,,,17.4,,,36.4,,51.6,51.6,,,,53.2,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,31.8,,20.8,,,,,,,,23.8,,,,,,,,,24.6,,,,
Sudan,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,8.7,,,9.9,,,,,,7,,,,,,,9.5,,,,9.1,,,,12.2,,,,,,
Senegal,,,,,,,,,,,,,,,,,,3.9,,,,,,,,4.7,,,,,,,7.4,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,,17.8,22.2,23.3,25.1,27.8,27.1,26.9,
Singapore,,,,,,,,,,,,,60.1,,,,71.3,,,,,74.2,,,,,67,,,,,65,,,,,62,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,6.8,,,,,,34.6,,,,,,,,29.3,,,,,
